title,meta,headers,body,map,p10,ndcg10,ndcg1000
5,3,1,3,0.0244,0.1820,0.1368,0.0979
5,3,1,5,0.0293,0.2220,0.1607,0.1087
5,3,3,0,0.0208,0.1620,0.1214,0.0837
5,3,3,1,0.0217,0.1660,0.1247,0.0875
5,3,3,3,0.0242,0.1850,0.1341,0.0968
5,3,3,5,0.0285,0.2170,0.1568,0.1071
5,3,5,0,0.0190,0.1490,0.1152,0.0814
5,3,5,1,0.0198,0.1570,0.1194,0.0845
5,3,5,3,0.0218,0.1700,0.1272,0.0920
5,3,5,5,0.0262,0.1920,0.1427,0.1027
5,5,0,0,0.0147,0.1360,0.1014,0.0701
5,5,0,1,0.0159,0.1440,0.1076,0.0742
5,5,0,3,0.0180,0.1580,0.1181,0.0827
5,5,0,5,0.0226,0.1850,0.1345,0.0961
5,5,1,0,0.0156,0.1420,0.1077,0.0725
5,5,1,1,0.0164,0.1470,0.1112,0.0755
5,5,1,3,0.0186,0.1610,0.1208,0.0840
5,5,1,5,0.0235,0.1830,0.1365,0.0972
5,5,3,0,0.0167,0.1440,0.1110,0.0754
5,5,3,1,0.0176,0.1530,0.1158,0.0785
5,5,3,3,0.0192,0.1630,0.1247,0.0859
5,5,3,5,0.0238,0.1860,0.1396,0.0978
5,5,5,0,0.0180,0.1480,0.1137,0.0793
5,5,5,1,0.0189,0.1570,0.1199,0.0822
5,5,5,3,0.0204,0.1680,0.1253,0.0880
5,5,5,5,0.0238,0.1860,0.1369,0.0970
