title,meta,headers,body,QueryNumber,map,p10,ndcg10,ndcg1000,bpref,rr
3,0,0,3,638,0.0534,0.1000,0.0392,0.2723,0.2520,0.1667
3,0,0,3,639,0.1630,0.5000,0.2489,0.4585,0.2973,1.0000
3,0,0,3,648,0.4082,1.0000,0.7324,0.6574,0.4543,1.0000
3,0,0,3,650,0.0390,0.1000,0.0946,0.3218,0.0615,0.2000
3,0,0,3,651,0.0391,0.3000,0.4690,0.2586,0.0323,1.0000
3,0,0,3,658,0.1911,0.3000,0.1675,0.5435,0.2664,0.5000
3,0,0,3,689,0.0384,0.2000,0.1737,0.2279,0.1355,0.3333
3,0,0,5,303,0.4169,0.4000,0.5104,0.7952,0.4159,1.0000
3,0,0,5,307,0.3103,1.0000,0.5665,0.5106,0.4138,1.0000
3,0,0,5,310,0.0687,0.3000,0.1981,0.2899,0.0973,1.0000
3,0,0,5,314,0.0034,0.1000,0.0871,0.0738,0.0123,0.1667
3,0,0,5,322,0.0073,0.1000,0.1100,0.0911,0.0234,0.3333
3,0,0,5,325,0.4681,0.3000,0.2563,0.7469,0.6406,1.0000
3,0,0,5,330,0.3234,0.6000,0.4524,0.7148,0.3566,0.5000
3,0,0,5,336,0.4656,0.8000,0.5281,0.6847,0.4751,0.5000
3,0,0,5,341,0.1139,0.1000,0.0444,0.3702,0.1622,0.1250
3,0,0,5,344,0.0816,0.5000,0.2033,0.3245,0.1321,0.3333
3,0,0,5,345,0.0196,0.0000,0.0000,0.2403,0.0000,0.0625
3,0,0,5,347,0.2462,0.6000,0.5301,0.5983,0.3056,0.5000
3,0,0,5,353,0.0583,0.0000,0.0000,0.2981,0.0272,0.0667
3,0,0,5,354,0.1888,0.7000,0.7788,0.4882,0.4075,1.0000
3,0,0,5,362,0.2187,0.7000,0.4617,0.5050,0.2488,1.0000
3,0,0,5,363,0.1092,0.3000,0.3273,0.4408,0.1633,0.5000
3,0,0,5,367,0.0708,0.3000,0.2462,0.3952,0.0820,0.2500
3,0,0,5,372,0.0961,0.1000,0.1022,0.4630,0.0961,0.5000
3,0,0,5,374,0.5821,0.7000,0.5419,0.8491,0.6889,1.0000
3,0,0,5,375,0.2070,0.4000,0.3597,0.6444,0.1584,0.5000
3,0,0,5,378,0.1288,0.1000,0.0948,0.4952,0.1653,0.2500
3,0,0,5,383,0.0328,0.0000,0.0000,0.2690,0.0298,0.0345
3,0,0,5,389,0.0254,0.0000,0.0000,0.2340,0.0511,0.0213
3,0,0,5,393,0.0365,0.0000,0.0000,0.2472,0.0683,0.0714
3,0,0,5,394,0.3422,0.9000,0.9337,0.6136,0.4083,1.0000
3,0,0,5,397,0.0467,0.3000,0.3933,0.3490,0.0638,1.0000
3,0,0,5,399,0.1549,0.6000,0.5932,0.4065,0.2940,1.0000
3,0,0,5,401,0.0736,0.1000,0.0663,0.3742,0.1200,0.1111
3,0,0,5,404,0.2244,0.3000,0.2331,0.5536,0.3921,0.5000
3,0,0,5,408,0.1034,0.1000,0.0694,0.4208,0.1101,0.5000
3,0,0,5,409,0.2994,0.3000,0.2876,0.6898,0.3157,0.5000
3,0,0,5,416,0.3662,0.4000,0.2612,0.7286,0.3423,1.0000
3,0,0,5,419,0.0942,0.2000,0.1795,0.3694,0.1453,0.3333
3,0,0,5,426,0.0412,0.1000,0.0636,0.2485,0.1253,0.1000
3,0,0,5,427,0.2682,0.8000,0.5518,0.5586,0.3121,1.0000
3,0,0,5,433,0.0739,0.1000,0.2201,0.3013,0.0549,1.0000
3,0,0,5,435,0.2570,0.5000,0.2390,0.6052,0.3004,0.2500
