schema b QueryNum map p10 ndcg10 ndcg1000 bpref unjudged relString rr 
topTuneBvaried_Hard2005_unifield_b0.0_k1.2 0.0 401 0.0404 0.1000 0.1389 0.3440 0.0379 0 '0200000000' 0.5000
topTuneBvaried_Hard2005_unifield_b0.0_k1.2 0.0 404 0.2180 0.5000 0.3118 0.5363 0.3597 0 '1110100100' 1.0000
topTuneBvaried_Hard2005_unifield_b0.0_k1.2 0.0 408 0.1136 0.2000 0.2489 0.4665 0.0999 0 '1200000000' 1.0000
topTuneBvaried_Hard2005_unifield_b0.0_k1.2 0.0 409 0.3418 0.7000 0.5109 0.7269 0.3784 0 '1020112220' 1.0000
topTuneBvaried_Hard2005_unifield_b0.0_k1.2 0.0 416 0.4592 0.8000 0.7105 0.8259 0.4512 0 '2222110011' 1.0000
topTuneBvaried_Hard2005_unifield_b0.0_k1.2 0.0 419 0.1410 0.3000 0.3188 0.4494 0.1592 0 '0202200000' 0.5000
topTuneBvaried_Hard2005_unifield_b0.0_k1.2 0.0 426 0.1024 0.0000 0.0000 0.3753 0.2274 0 '0000000000' 0.0909
topTuneBvaried_Hard2005_unifield_b0.0_k1.2 0.0 427 0.2534 0.8000 0.8048 0.5826 0.3035 0 '2202022222' 1.0000
topTuneBvaried_Hard2005_unifield_b0.0_k1.2 0.0 433 0.1538 0.4000 0.4658 0.3960 0.1578 0 '2120000020' 1.0000
topTuneBvaried_Hard2005_unifield_b0.0_k1.2 0.0 435 0.1307 0.3000 0.1233 0.4916 0.1716 0 '0001011000' 0.2500
topTuneBvaried_Hard2005_unifield_b0.0_k1.2 0.0 436 0.4734 1.0000 0.8488 0.6599 0.5902 0 '2122112222' 1.0000
topTuneBvaried_Hard2005_unifield_b0.0_k1.2 0.0 439 0.0840 0.3000 0.2345 0.2743 0.1376 0 '1110000000' 1.0000
topTuneBvaried_Hard2005_unifield_b0.0_k1.2 0.0 443 0.2649 0.7000 0.4506 0.5245 0.4077 0 '0112220110' 0.5000
topTuneBvaried_Hard2005_unifield_b0.0_k1.2 0.0 448 0.0042 0.0000 0.0000 0.0915 0.0198 0 '0000000000' 0.0526
topTuneBvaried_Hard2005_unifield_b0.0_k1.2 0.0 622 0.4269 1.0000 0.8645 0.7504 0.5687 0 '2211222212' 1.0000
