schema alpha  QueryNum map p10 ndcg10 ndcg1000 bpref unjudged relString rr
topBm25fTuneBoost_Web_alpha1 1 207 0.0271 0.1000 0.0321 0.1263 0.1353 3 '000010--0-' 0.2000
topBm25fTuneBoost_Web_alpha1 1 208 0.0441 0.3000 0.1244 0.1350 0.1124 1 '010010010-' 0.5000
topBm25fTuneBoost_Web_alpha1 1 209 0.0085 0.1000 0.0562 0.0510 0.0592 6 '00---0--2-' 0.1111
topBm25fTuneBoost_Web_alpha1 1 210 0.0069 0.1000 0.0726 0.0826 0.0343 4 '00-0--2-00' 0.1429
topBm25fTuneBoost_Web_alpha1 1 211 0.0725 0.6000 0.2879 0.2107 0.2065 2 '0110-1221-' 0.5000
topBm25fTuneBoost_Web_alpha1 1 212 0.0008 0.0000 0.0000 0.0536 0.0000 3 '00000-0--0' 0.0049
topBm25fTuneBoost_Web_alpha1 1 213 0.0165 0.0000 0.0000 0.1381 0.1863 5 '0-0-0---00' 0.0385
topBm25fTuneBoost_Web_alpha1 1 214 0.1076 0.7000 0.4372 0.2496 0.2123 2 '110-211-12' 1.0000
topBm25fTuneBoost_Web_alpha1 1 215 0.0509 0.3000 0.1499 0.2165 0.2331 2 '00-100101-' 0.2500
topBm25fTuneBoost_Web_alpha1 1 216 0.0648 0.6000 0.2648 0.1823 0.1662 4 '12--11-1-1' 1.0000
topBm25fTuneBoost_Web_alpha1 1 217 0.0564 0.7000 0.3428 0.1627 0.1425 2 '11-1-12011' 1.0000
topBm25fTuneBoost_Web_alpha1 1 218 0.0139 0.1000 0.1100 0.1162 0.1150 4 '1-00000---' 1.0000
topBm25fTuneBoost_Web_alpha1 1 219 0.0010 0.0000 0.0000 0.0353 0.0281 6 '-00--0-0--' 0.0081
topBm25fTuneBoost_Web_alpha1 1 220 0.0006 0.0000 0.0000 0.0234 0.0187 2 '0000-0000-' 0.0256
topBm25fTuneBoost_Web_alpha1 1 221 0.0637 0.1000 0.0271 0.1517 0.1857 3 '000000-1--' 0.1250
topBm25fTuneBoost_Web_alpha1 1 222 0.0430 0.5000 0.1856 0.1431 0.1683 3 '011-110-2-' 0.5000
topBm25fTuneBoost_Web_alpha1 1 223 0.1023 0.6000 0.3748 0.2875 0.2127 0 '2010044011' 1.0000
topBm25fTuneBoost_Web_alpha1 1 224 0.0003 0.0000 0.0000 0.0282 0.0351 9 '----0-----' 0.0054
topBm25fTuneBoost_Web_alpha1 1 225 0.0000 0.0000 0.0000 0.0000 0.0000 4 '-000-00--0' 0.0000
topBm25fTuneBoost_Web_alpha1 1 226 0.0136 0.0000 0.0000 0.1338 0.1125 3 '--000000-0' 0.0417
topBm25fTuneBoost_Web_alpha1 1 227 0.1149 0.6000 0.5725 0.3301 0.2132 2 '44013-10-1' 1.0000
