schema alpha  QueryNum map p10 ndcg10 ndcg1000 bpref unjudged relString rr
topBm25fTuneBoost_Hard2005_alpha2 2 394 0.4725 1.0000 1.0000 0.7069 0.4838 0 '1111111111' 1.0000
topBm25fTuneBoost_Hard2005_alpha2 2 397 0.0338 0.3000 0.3188 0.2023 0.0700 0 '0101100000' 0.5000
topBm25fTuneBoost_Hard2005_alpha2 2 399 0.1790 0.6000 0.6048 0.4276 0.3110 0 '2200102022' 1.0000
topBm25fTuneBoost_Hard2005_alpha2 2 401 0.0867 0.2000 0.1642 0.3983 0.1273 0 '0002000200' 0.2500
topBm25fTuneBoost_Hard2005_alpha2 2 404 0.2492 0.3000 0.2113 0.5721 0.4078 0 '0020000201' 0.3333
topBm25fTuneBoost_Hard2005_alpha2 2 408 0.0966 0.1000 0.0851 0.4193 0.0954 0 '0000200000' 0.2000
topBm25fTuneBoost_Hard2005_alpha2 2 409 0.3021 0.4000 0.2914 0.6995 0.3149 0 '0201002001' 0.5000
topBm25fTuneBoost_Hard2005_alpha2 2 416 0.3444 0.5000 0.2368 0.7047 0.3102 0 '0111000011' 0.5000
topBm25fTuneBoost_Hard2005_alpha2 2 419 0.0849 0.2000 0.1763 0.3437 0.1349 0 '0020000020' 0.3333
topBm25fTuneBoost_Hard2005_alpha2 2 426 0.0543 0.0000 0.0000 0.2745 0.1370 0 '0000000000' 0.0714
topBm25fTuneBoost_Hard2005_alpha2 2 427 0.2637 0.7000 0.5371 0.5796 0.3059 0 '1200112202' 1.0000
topBm25fTuneBoost_Hard2005_alpha2 2 433 0.0573 0.1000 0.2201 0.2786 0.0370 0 '2000000000' 1.0000
topBm25fTuneBoost_Hard2005_alpha2 2 435 0.2298 0.3000 0.1528 0.5819 0.2603 0 '0000120001' 0.2000
topBm25fTuneBoost_Hard2005_alpha2 2 436 0.4552 0.6000 0.4552 0.6440 0.6044 0 '2010110102' 1.0000
topBm25fTuneBoost_Hard2005_alpha2 2 439 0.0364 0.2000 0.1110 0.2684 0.0639 0 '0001000002' 0.2500
topBm25fTuneBoost_Hard2005_alpha2 2 443 0.0912 0.2000 0.1584 0.3810 0.2164 0 '0002000002' 0.2500
topBm25fTuneBoost_Hard2005_alpha2 2 448 0.0184 0.0000 0.0000 0.2293 0.0174 0 '0000000000' 0.0769
topBm25fTuneBoost_Hard2005_alpha2 2 622 0.1971 0.9000 0.8742 0.5858 0.3406 0 '2221202222' 1.0000
topBm25fTuneBoost_Hard2005_alpha2 2 625 0.0125 0.2000 0.1546 0.1399 0.0229 0 '0100200000' 0.5000
topBm25fTuneBoost_Hard2005_alpha2 2 638 0.1230 0.5000 0.2683 0.3384 0.2823 1 '0012111-00' 0.3333
topBm25fTuneBoost_Hard2005_alpha2 2 639 0.1744 0.1000 0.0318 0.4758 0.2764 0 '0000000001' 0.1000
topBm25fTuneBoost_Hard2005_alpha2 2 648 0.5675 1.0000 0.7365 0.7932 0.5552 0 '2121112211' 1.0000
topBm25fTuneBoost_Hard2005_alpha2 2 650 0.0346 0.1000 0.1053 0.3121 0.0566 0 '0002000000' 0.2500
topBm25fTuneBoost_Hard2005_alpha2 2 651 0.0053 0.0000 0.0000 0.1175 0.0190 0 '0000000000' 0.0312
topBm25fTuneBoost_Hard2005_alpha2 2 658 0.1877 0.4000 0.2482 0.5318 0.2396 0 '0100012020' 0.5000
topBm25fTuneBoost_Hard2005_alpha2 2 689 0.0323 0.0000 0.0000 0.2626 0.0693 0 '0000000000' 0.0476
topBm25fTuneBoost_Hard2005_alpha3 3 303 0.3850 0.5000 0.5743 0.7821 0.3853 0 '2200022002' 1.0000
topBm25fTuneBoost_Hard2005_alpha3 3 307 0.3084 1.0000 0.5649 0.5062 0.4132 0 '1111111122' 1.0000
topBm25fTuneBoost_Hard2005_alpha3 3 310 0.0643 0.3000 0.1775 0.2740 0.0928 0 '0111000000' 0.5000
topBm25fTuneBoost_Hard2005_alpha3 3 314 0.0017 0.0000 0.0000 0.0612 0.0107 0 '0000000000' 0.0588
topBm25fTuneBoost_Hard2005_alpha3 3 322 0.0039 0.1000 0.0734 0.0645 0.0227 0 '0000002000' 0.1429
topBm25fTuneBoost_Hard2005_alpha3 3 325 0.4233 0.2000 0.1244 0.7108 0.6078 0 '0100000010' 0.5000
topBm25fTuneBoost_Hard2005_alpha3 3 330 0.3125 0.8000 0.6489 0.7198 0.3410 0 '1011111011' 1.0000
topBm25fTuneBoost_Hard2005_alpha3 3 336 0.4548 0.8000 0.4707 0.6859 0.4518 0 '0121211110' 0.5000
topBm25fTuneBoost_Hard2005_alpha3 3 341 0.1078 0.1000 0.1407 0.4127 0.1300 0 '1000000000' 1.0000
