schema alpha  QueryNum map p10 ndcg10 ndcg1000 bpref unjudged relString rr
topTuneBoost_Hard2003_alpha10 10 235 0.0273 0.1000 0.2201 0.1114 0.0492 8 '2----0----' 1.0000
topTuneBoost_Hard2003_alpha10 10 237 0.3138 1.0000 0.6785 0.5125 0.4254 0 '2111112112' 1.0000
topTuneBoost_Hard2003_alpha10 10 33 0.0507 0.8000 0.8669 0.2312 0.1989 0 '2222222020' 1.0000
topTuneBoost_Hard2003_alpha10 10 36 0.1659 0.7000 0.7453 0.3913 0.2406 1 '22022022-2' 1.0000
topTuneBoost_Hard2003_alpha10 10 44 0.2946 0.5000 0.5737 0.6482 0.3359 0 '2022200002' 1.0000
topTuneBoost_Hard2003_alpha10 10 48 0.0770 0.5000 0.6332 0.3053 0.3192 5 '2222---2--' 1.0000
topTuneBoost_Hard2003_alpha10 10 51 0.1592 0.5000 0.4257 0.3432 0.2996 4 '--2220-22-' 0.3333
topTuneBoost_Hard2003_alpha10 10 53 0.2427 0.4000 0.3536 0.6157 0.4753 3 '--22200-02' 0.3333
topTuneBoost_Hard2003_alpha10 10 59 0.0000 0.0000 0.0000 0.0000 0.0000 3 '00-000-0-0' 0.0000
topTuneBoost_Hard2003_alpha10 10 65 0.1266 1.0000 1.0000 0.2621 0.1544 0 '2222222222' 1.0000
topTuneBoost_Hard2003_alpha10 10 69 0.0314 0.7000 0.4013 0.1097 0.0965 1 '0112111-02' 0.5000
topTuneBoost_Hard2003_alpha10 10 70 0.1511 0.4000 0.4017 0.3372 0.2689 5 '2-12----01' 1.0000
topTuneBoost_Hard2003_alpha10 10 77 0.0296 0.6000 0.7152 0.1292 0.0459 2 '222220-02-' 1.0000
topTuneBoost_Hard2003_alpha10 10 84 0.0021 0.0000 0.0000 0.0588 0.0078 8 '0-0-------' 0.0047
topTuneBoost_Hard2003_alpha10 10 87 0.0060 0.0000 0.0000 0.1291 0.0000 4 '00-0000---' 0.0208
topTuneBoost_Hard2003_alpha10 10 99 0.0423 0.3000 0.2002 0.2343 0.2022 7 '----221---' 0.2000
topTuneBoost_Hard2003_alpha2 2 102 0.7392 1.0000 0.9241 0.9057 0.8716 0 '2222211222' 1.0000
topTuneBoost_Hard2003_alpha2 2 105 0.1785 0.4000 0.3594 0.5692 0.1402 0 '0122200000' 0.5000
topTuneBoost_Hard2003_alpha2 2 115 0.0128 0.0000 0.0000 0.1480 0.0000 0 '0000000000' 0.0244
topTuneBoost_Hard2003_alpha2 2 116 0.4767 1.0000 0.7475 0.7788 0.6944 0 '1222211121' 1.0000
topTuneBoost_Hard2003_alpha2 2 117 0.0005 0.0000 0.0000 0.0343 0.0000 0 '0000000000' 0.0085
topTuneBoost_Hard2003_alpha2 2 124 0.4426 0.4000 0.5474 0.7731 0.3800 0 '2220020000' 1.0000
topTuneBoost_Hard2003_alpha2 2 146 0.1720 0.7000 0.7082 0.4930 0.3167 0 '2210202220' 1.0000
topTuneBoost_Hard2003_alpha2 2 147 0.3857 0.8000 0.8630 0.6402 0.5504 0 '2222220220' 1.0000
topTuneBoost_Hard2003_alpha2 2 154 0.0431 0.0000 0.0000 0.2564 0.0000 0 '0000000000' 0.0588
topTuneBoost_Hard2003_alpha2 2 155 0.0595 0.2000 0.1357 0.3836 0.0817 0 '0000000110' 0.1250
topTuneBoost_Hard2003_alpha2 2 157 0.0751 0.7000 0.3609 0.1208 0.1510 0 '1100110111' 1.0000
topTuneBoost_Hard2003_alpha2 2 171 0.2885 0.7000 0.6194 0.7012 0.4499 0 '2021100222' 1.0000
topTuneBoost_Hard2003_alpha2 2 176 0.0029 0.0000 0.0000 0.0893 0.0000 0 '0000000000' 0.0055
topTuneBoost_Hard2003_alpha2 2 177 0.0047 0.0000 0.0000 0.0905 0.0028 0 '0000000000' 0.0278
topTuneBoost_Hard2003_alpha2 2 180 0.3926 0.6000 0.6212 0.7586 0.4673 0 '2202000221' 1.0000
topTuneBoost_Hard2003_alpha2 2 182 0.0673 0.2000 0.1518 0.4245 0.0980 0 '0000022000' 0.1667
topTuneBoost_Hard2003_alpha2 2 186 0.0066 0.0000 0.0000 0.1798 0.0000 0 '0000000000' 0.0200
topTuneBoost_Hard2003_alpha2 2 187 0.0399 0.1000 0.1389 0.2593 0.1560 0 '0200000000' 0.5000
topTuneBoost_Hard2003_alpha2 2 190 0.1076 0.1000 0.0784 0.4063 0.1508 0 '0000020000' 0.1667
topTuneBoost_Hard2003_alpha2 2 194 0.2944 0.7000 0.6489 0.6077 0.3577 0 '2200202112' 1.0000
topTuneBoost_Hard2003_alpha2 2 196 0.5982 1.0000 1.0000 0.8171 0.6874 0 '2222222222' 1.0000
topTuneBoost_Hard2003_alpha2 2 198 0.1289 0.3000 0.1707 0.4731 0.2352 0 '0100000201' 0.5000
topTuneBoost_Hard2003_alpha2 2 203 0.3193 0.7000 0.4512 0.6177 0.2899 0 '1110022011' 1.0000
topTuneBoost_Hard2003_alpha2 2 215 0.7280 0.4000 0.4050 0.8687 0.8260 0 '2010000022' 1.0000
topTuneBoost_Hard2003_alpha2 2 217 0.0645 0.0000 0.0000 0.3768 0.0000 0 '0000000000' 0.0455
topTuneBoost_Hard2003_alpha2 2 220 0.0106 0.0000 0.0000 0.1889 0.0066 0 '0000000000' 0.0161
topTuneBoost_Hard2003_alpha2 2 222 0.3309 0.8000 0.6809 0.5532 0.5222 0 '2022121102' 1.0000
topTuneBoost_Hard2003_alpha2 2 223 0.4368 1.0000 0.8082 0.6397 0.5811 0 '1222112222' 1.0000
topTuneBoost_Hard2003_alpha2 2 226 0.0894 0.2000 0.1952 0.4755 0.0413 1 '1000200-00' 1.0000
topTuneBoost_Hard2003_alpha2 2 228 0.0000 0.0000 0.0000 0.0000 0.0000 4 '000---000-' 0.0000
topTuneBoost_Hard2003_alpha2 2 229 0.1267 1.0000 1.0000 0.2500 0.1272 0 '2222222222' 1.0000
topTuneBoost_Hard2003_alpha2 2 231 0.1176 0.3000 0.4690 0.4567 0.1176 0 '1110000000' 1.0000
topTuneBoost_Hard2003_alpha2 2 233 0.2028 0.7000 0.7412 0.5926 0.2792 0 '2202022220' 1.0000
topTuneBoost_Hard2003_alpha2 2 234 0.3585 0.8000 0.8643 0.6970 0.3663 0 '2222222002' 1.0000
topTuneBoost_Hard2003_alpha2 2 235 0.0197 0.1000 0.0948 0.2001 0.0388 0 '0002000000' 0.2500
topTuneBoost_Hard2003_alpha2 2 237 0.7554 1.0000 0.6735 0.8367 0.8104 0 '1121222111' 1.0000
topTuneBoost_Hard2003_alpha2 2 33 0.3838 1.0000 1.0000 0.6494 0.5772 0 '2222222222' 1.0000
topTuneBoost_Hard2003_alpha2 2 36 0.5827 0.8000 0.8643 0.8183 0.5713 0 '2222222002' 1.0000
topTuneBoost_Hard2003_alpha2 2 44 0.7053 0.9000 0.8734 0.9166 0.6289 0 '2220222221' 1.0000
topTuneBoost_Hard2003_alpha2 2 48 0.5331 1.0000 0.9633 0.7539 0.7413 0 '2222221222' 1.0000
topTuneBoost_Hard2003_alpha2 2 51 0.4391 1.0000 1.0000 0.6454 0.5544 0 '2222222222' 1.0000
topTuneBoost_Hard2003_alpha2 2 53 0.4864 1.0000 1.0000 0.8110 0.4915 0 '2222222222' 1.0000
topTuneBoost_Hard2003_alpha2 2 59 0.1727 0.1000 0.3026 0.4702 0.1667 0 '2000000000' 1.0000
topTuneBoost_Hard2003_alpha2 2 65 0.7101 1.0000 1.0000 0.8733 0.7614 0 '2222222222' 1.0000
topTuneBoost_Hard2003_alpha2 2 69 0.0771 0.5000 0.3272 0.2185 0.2002 0 '1101001002' 1.0000
topTuneBoost_Hard2003_alpha2 2 70 0.3520 0.5000 0.4147 0.6496 0.3871 0 '1202010001' 1.0000
topTuneBoost_Hard2003_alpha2 2 77 0.0379 0.2000 0.1428 0.2405 0.1112 0 '0000002200' 0.1429
topTuneBoost_Hard2003_alpha2 2 84 0.0352 0.0000 0.0000 0.3244 0.0131 0 '0000000000' 0.0213
topTuneBoost_Hard2003_alpha2 2 87 0.6181 0.7000 0.7910 0.8671 0.5952 0 '2222220002' 1.0000
topTuneBoost_Hard2003_alpha2 2 99 0.2112 0.7000 0.5938 0.5184 0.4205 0 '2201120101' 1.0000
topTuneBoost_Hard2003_alpha3 3 102 0.7306 1.0000 0.9241 0.8993 0.8702 0 '2222211222' 1.0000
topTuneBoost_Hard2003_alpha3 3 105 0.1256 0.2000 0.1795 0.5106 0.0721 0 '0120000000' 0.5000
topTuneBoost_Hard2003_alpha3 3 115 0.0077 0.0000 0.0000 0.1307 0.0000 1 '000000000-' 0.0156
topTuneBoost_Hard2003_alpha3 3 116 0.4866 1.0000 0.7809 0.7787 0.6937 0 '1222211212' 1.0000
topTuneBoost_Hard2003_alpha3 3 117 0.0004 0.0000 0.0000 0.0327 0.0000 0 '0000000000' 0.0065
topTuneBoost_Hard2003_alpha3 3 124 0.4378 0.4000 0.5541 0.7658 0.3900 0 '2220200000' 1.0000
topTuneBoost_Hard2003_alpha3 3 146 0.1699 0.6000 0.6254 0.4910 0.3217 0 '2210020202' 1.0000
topTuneBoost_Hard2003_alpha3 3 147 0.3682 0.9000 0.9149 0.6239 0.5403 0 '2222022222' 1.0000
topTuneBoost_Hard2003_alpha3 3 154 0.0405 0.0000 0.0000 0.2520 0.0000 0 '0000000000' 0.0526
topTuneBoost_Hard2003_alpha3 3 155 0.0456 0.0000 0.0000 0.3380 0.0790 2 '000000--00' 0.0909
topTuneBoost_Hard2003_alpha3 3 157 0.0654 0.7000 0.3645 0.1172 0.1502 1 '11001111-1' 1.0000
topTuneBoost_Hard2003_alpha3 3 171 0.3113 0.7000 0.6466 0.6937 0.4892 0 '2202211001' 1.0000
topTuneBoost_Hard2003_alpha3 3 176 0.0022 0.0000 0.0000 0.0757 0.0000 0 '0000000000' 0.0053
topTuneBoost_Hard2003_alpha3 3 177 0.0040 0.0000 0.0000 0.0880 0.0083 0 '0000000000' 0.0333
topTuneBoost_Hard2003_alpha3 3 180 0.4020 0.6000 0.5911 0.7506 0.5114 0 '2022000212' 1.0000
topTuneBoost_Hard2003_alpha3 3 182 0.0471 0.2000 0.1518 0.3508 0.0861 0 '0000022000' 0.1667
topTuneBoost_Hard2003_alpha3 3 186 0.0058 0.0000 0.0000 0.1400 0.0000 0 '0000000000' 0.0270
topTuneBoost_Hard2003_alpha3 3 187 0.0342 0.1000 0.1389 0.2499 0.1540 0 '0200000000' 0.5000
topTuneBoost_Hard2003_alpha3 3 190 0.1387 0.5000 0.3047 0.4429 0.1596 0 '0201111000' 0.5000
topTuneBoost_Hard2003_alpha3 3 194 0.2878 0.6000 0.6326 0.6075 0.3621 0 '2202012020' 1.0000
topTuneBoost_Hard2003_alpha3 3 196 0.5992 1.0000 1.0000 0.8195 0.6943 0 '2222222222' 1.0000
topTuneBoost_Hard2003_alpha3 3 198 0.1384 0.3000 0.1924 0.4851 0.2468 0 '0012100000' 0.3333
